Ostrich,Struthio camelus,TC000001
Blue-shouldered Robin-Chat,Cossypha cyanocampter,TC009207
Gray-winged Robin-Chat,Cossypha polioptera,TC009208
Rueppell's Robin-Chat,Cossypha semirufa,TC009209
White-browed Robin-Chat,Cossypha heuglini,TC009210
Red-capped Robin-Chat,Cossypha natalensis,TC009211
Chorister Robin-Chat,Cossypha dichroa,TC009212
White-headed Robin-Chat,Cossypha heinrichi,TC009213
Snowy-crowned Robin-Chat,Cossypha niveicapilla,TC009214
White-crowned Robin-Chat,Cossypha albicapilla,TC009215
Angola Cave-Chat,Xenocopsychus ansorgei,TC009217
Collared Palm-Thrush,Cichladusa arquata,TC009218
Rufous-tailed Palm-Thrush,Cichladusa ruficauda,TC009219
Spotted Morning-Thrush,Cichladusa guttata,TC009220
European Robin,Erithacus rubecula,TC009176
White-starred Robin,Pogonocichla stellata,TC009164
Swynnerton's Robin,Swynnertonia swynnertoni,TC009165
Brown-chested Alethe,Pseudalethe poliocephala,TC009561
Red-throated Alethe,Pseudalethe poliophrys,TC009562
Cholo Alethe,Pseudalethe choloensis,TC009563
White-chested Alethe,Pseudalethe fuelleborni,TC009564
Forest Robin,Stiphrornis erythrothorax,TC009166
Bocage's Akalat,Sheppardia bocagei,TC009167
Lowland Akalat,Sheppardia cyornithopsis,TC009168
Equatorial Akalat,Sheppardia aequatorialis,TC009169
Sharpe's Akalat,Sheppardia sharpei,TC009170
East Coast Akalat,Sheppardia gunningi,TC009171
Gabela Akalat,Sheppardia gabela,TC009172
Usambara Akalat,Sheppardia montana,TC009173
Iringa Akalat,Sheppardia lowei,TC009174
Rubeho Akalat,Sheppardia aurantiithorax,TC009175
Eyebrowed Jungle-Flycatcher,Vauriella gularis,TC009062
Rusty-flanked Jungle-Flycatcher,Vauriella insignis,TC009063
Negros Jungle-Flycatcher,Vauriella albigularis,TC009064
Mindanao Jungle-Flycatcher,Vauriella goodfellowi,TC009065
Great Shortwing,Heinrichia calligyna,TC009560
Rusty-bellied Shortwing,Brachypteryx hyperythra,TC009555
Gould's Shortwing,Brachypteryx stellata,TC009556
Nilgiri Shortwing,Brachypteryx major,TC009557
White-bellied Shortwing,Brachypteryx albiventris,TC012878
Lesser Shortwing,Brachypteryx leucophrys,TC009558
White-browed Shortwing,Brachypteryx montana,TC009559
Rufous-tailed Robin,Larvivora sibilans,TC009179
Rufous-headed Robin,Larvivora ruficeps,TC009189
Japanese Robin,Larvivora akahige,TC009177
Ryukyu Robin,Larvivora komadori,TC009178
Indian Blue Robin,Larvivora brunnea,TC009192
Siberian Blue Robin,Larvivora cyane,TC009193
White-throated Robin,Irania gutturalis,TC009200
Thrush Nightingale,Luscinia luscinia,TC009180
Common Nightingale,Luscinia megarhynchos,TC009181
White-bellied Redstart,Luscinia phaenicuroides,TC009258
Bluethroat,Luscinia svecica,TC009185
Sri Lanka Whistling-Thrush,Myophonus blighi,TC009352
Shiny Whistling-Thrush,Myophonus melanurus,TC009353
Javan Whistling-Thrush,Myophonus glaucinus,TC009354
Chestnut-winged Whistling-Thrush,Myophonus castaneus,TC009355
Bornean Whistling-Thrush,Myophonus borneensis,TC009356
Malayan Whistling-Thrush,Myophonus robinsoni,TC009357
Malabar Whistling-Thrush,Myophonus horsfieldii,TC009358
Taiwan Whistling-Thrush,Myophonus insularis,TC009359
Blue Whistling-Thrush,Myophonus caeruleus,TC009360
Little Forktail,Enicurus scouleri,TC009263
White-crowned Forktail,Enicurus leschenaulti,TC009268
Spotted Forktail,Enicurus maculatus,TC009269
Sunda Forktail,Enicurus velatus,TC009264
Chestnut-naped Forktail,Enicurus ruficapillus,TC009265
Black-backed Forktail,Enicurus immaculatus,TC009266
Slaty-backed Forktail,Enicurus schistaceus,TC009267
Firethroat,Calliope pectardens,TC009191
Black-throated Blue Robin,Calliope obscura,TC009190
Siberian Rubythroat,Calliope calliope,TC009183
White-tailed Rubythroat,Calliope pectoralis,TC009184
White-tailed Robin,Cinclidium leucurum,TC009259
Sunda Robin,Cinclidium diana,TC009260
Blue-fronted Robin,Cinclidium frontale,TC009261
Grandala,Grandala coelicolor,TC009262
Red-flanked Bluetail,Tarsiger cyanurus,TC009194
Himalayan Bluetail,Tarsiger rufilatus,TC009195
Rufous-breasted Bush-Robin,Tarsiger hyperythrus,TC009198
White-browed Bush-Robin,Tarsiger indicus,TC009197
Golden Bush-Robin,Tarsiger chrysaeus,TC009196
Collared Bush-Robin,Tarsiger johnstoniae,TC009199
Rufous-chested Flycatcher,Ficedula dumetoria,TC009113
Tanimbar Flycatcher,Ficedula riedeli,TC012729
Rufous-throated Flycatcher,Ficedula rufigula,TC009114
Cinnamon-chested Flycatcher,Ficedula buruensis,TC009115
Little Slaty Flycatcher,Ficedula basilanica,TC009116
Damar Flycatcher,Ficedula henrici,TC009117
Sumba Flycatcher,Ficedula harterti,TC009118
Palawan Flycatcher,Ficedula platenae,TC009119
Russet-tailed Flycatcher,Ficedula crypta,TC009120
Furtive Flycatcher,Ficedula disposita,TC009121
Lompobattang Flycatcher,Ficedula bonthaina,TC009122
Little Pied Flycatcher,Ficedula westermanni,TC009123
European Pied Flycatcher,Ficedula hypoleuca,TC009094
Black-banded Flycatcher,Ficedula timorensis,TC009128
Atlas Flycatcher,Ficedula speculigera,TC009095
Collared Flycatcher,Ficedula albicollis,TC009096
Semicollared Flycatcher,Ficedula semitorquata,TC009097
Taiga Flycatcher,Ficedula albicilla,TC009108
Kashmir Flycatcher,Ficedula subrubra,TC009109
Ultramarine Flycatcher,Ficedula superciliaris,TC009124
Rufous-gorgeted Flycatcher,Ficedula strophiata,TC009106
Korean Flycatcher,Ficedula zanthopygia,TC009098
Narcissus Flycatcher,Ficedula narcissina,TC009099
Mugimaki Flycatcher,Ficedula mugimaki,TC009104
Slaty-backed Flycatcher,Ficedula hodgsonii,TC009105
Snowy-browed Flycatcher,Ficedula hyperythra,TC009110
Red-breasted Flycatcher,Ficedula parva,TC009107
Slaty-blue Flycatcher,Ficedula tricolor,TC009125
Black-and-rufous Flycatcher,Ficedula nigrorufa,TC009126
Sapphire Flycatcher,Ficedula sapphira,TC009127
Blue-fronted Redstart,Phoenicurus frontalis,TC009253
Plumbeous Redstart,Phoenicurus fuliginosus,TC009256
Luzon Redstart,Phoenicurus bicolor,TC009257
Rufous-backed Redstart,Phoenicurus erythronotus,TC009244
White-capped Redstart,Phoenicurus leucocephalus,TC009255
Ala Shan Redstart,Phoenicurus alaschanicus,TC009243
Blue-capped Redstart,Phoenicurus caeruleocephala,TC009245
Moussier's Redstart,Phoenicurus moussieri,TC009251
Common Redstart,Phoenicurus phoenicurus,TC009247
Hodgson's Redstart,Phoenicurus hodgsoni,TC009248
White-throated Redstart,Phoenicurus schisticeps,TC009249
White-winged Redstart,Phoenicurus erythrogastrus,TC009252
Black Redstart,Phoenicurus ochruros,TC009246
Daurian Redstart,Phoenicurus auroreus,TC009250
Little Rock-Thrush,Monticola rufocinereus,TC009338
Chestnut-bellied Rock-Thrush,Monticola rufiventris,TC009341
White-throated Rock-Thrush,Monticola gularis,TC009340
Blue-capped Rock-Thrush,Monticola cinclorhynchus,TC009339
Short-toed Rock-Thrush,Monticola brevipes,TC009351
Sentinel Rock-Thrush,Monticola explorator,TC009350
Forest Rock-Thrush,Monticola sharpei,TC013168
Littoral Rock-Thrush,Monticola imerina,TC009349
Rufous-tailed Rock-Thrush,Monticola saxatilis,TC009344
Blue Rock-Thrush,Monticola solitarius,TC009345
Miombo Rock-Thrush,Monticola angolensis,TC009342
Cape Rock-Thrush,Monticola rupestris,TC009343
Whinchat,Saxicola rubetra,TC009300
White-browed Bushchat,Saxicola macrorhynchus,TC009301
White-throated Bushchat,Saxicola insignis,TC009302
Fuerteventura Stonechat,Saxicola dacotiae,TC009303
European Stonechat,Saxicola rubicola,TC009305
Siberian Stonechat,Saxicola maurus,TC013292
African Stonechat,Saxicola torquatus,TC013293
Reunion Stonechat,Saxicola tectes,TC009308
White-tailed Stonechat,Saxicola leucurus,TC009309
Pied Bushchat,Saxicola caprata,TC009310
Jerdon's Bushchat,Saxicola jerdoni,TC009311
Gray Bushchat,Saxicola ferreus,TC009312
Timor Bushchat,Saxicola gutturalis,TC009313
Buff-streaked Bushchat,Saxicola bifasciatus,TC009314
Boulder Chat,Pinarornis plumosus,TC009333
Congo Moorchat,Myrmecocichla tholloni,TC009324
Northern Anteater-Chat,Myrmecocichla aethiops,TC009325
Southern Anteater-Chat,Myrmecocichla formicivora,TC009326
Sooty Chat,Myrmecocichla nigra,TC009327
Rueppell's Chat,Myrmecocichla melaena,TC009328
White-fronted Black-Chat,Myrmecocichla albifrons,TC009329
White-headed Black-Chat,Myrmecocichla arnotti,TC009330
Ruaha Chat,Myrmecocichla collaris,TC012724
Mocking Cliff-Chat,Thamnolaea cinnamomeiventris,TC009331
White-winged Cliff-Chat,Thamnolaea semirufa,TC009332
Sicklewing Chat,Cercomela sinuata,TC009315
Karoo Chat,Cercomela schlegelii,TC009316
Tractrac Chat,Cercomela tractrac,TC009317
Familiar Chat,Cercomela familiaris,TC009318
Brown-tailed Chat,Cercomela scotocerca,TC009319
Indian Chat,Cercomela fusca,TC009320
Sombre Chat,Cercomela dubia,TC009321
Blackstart,Cercomela melanura,TC009322
Moorland Chat,Cercomela sordida,TC009323
White-tailed Wheatear,Oenanthe leucopyga,TC009274
Hooded Wheatear,Oenanthe monacha,TC009275
Hume's Wheatear,Oenanthe albonigra,TC009276
Black Wheatear,Oenanthe leucura,TC009277
Mountain Wheatear,Oenanthe monticola,TC009278
Somali Wheatear,Oenanthe phillipsi,TC009279
Northern Wheatear,Oenanthe oenanthe,TC009280
Mourning Wheatear,Oenanthe lugens,TC009284
Finsch's Wheatear,Oenanthe finschii,TC009285
Variable Wheatear,Oenanthe picata,TC009286
Red-rumped Wheatear,Oenanthe moesta,TC009287
Pied Wheatear,Oenanthe pleschanka,TC009288
Cyprus Wheatear,Oenanthe cypriaca,TC009289
Black-eared Wheatear,Oenanthe hispanica,TC009290
Red-tailed Wheatear,Oenanthe xanthoprymna,TC009291
Desert Wheatear,Oenanthe deserti,TC009294
Capped Wheatear,Oenanthe pileata,TC009295
Isabelline Wheatear,Oenanthe isabellina,TC009296
Red-breasted Wheatear,Oenanthe bottae,TC009297
Heuglin's Wheatear,Oenanthe heuglini,TC009298
Rufous Flycatcher-Thrush,Neocossyphus fraseri,TC009334
Finsch's Flycatcher-Thrush,Neocossyphus finschii,TC009335
Red-tailed Ant-Thrush,Neocossyphus rufus,TC009336
White-tailed Ant-Thrush,Neocossyphus poensis,TC009337
Geomalia,Geomalia heinrichi,TC009361
Siberian Thrush,Geokichla sibirica,TC009375
Pied Thrush,Geokichla wardii,TC009370
Spotted Ground-Thrush,Geokichla guttata,TC009383
Black-eared Ground-Thrush,Geokichla camaronensis,TC009380
Gray Ground-Thrush,Geokichla princei,TC009381
Crossley's Ground-Thrush,Geokichla crossleyi,TC009378
Oberlaender's Ground-Thrush,Geokichla oberlaenderi,TC009382
Abyssinian Ground-Thrush,Geokichla piaggiae,TC009376
Kivu Ground-Thrush,Geokichla tanganjicae,TC009377
Orange Ground-Thrush,Geokichla gurneyi,TC009379
Spot-winged Thrush,Geokichla spiloptera,TC009384
Ashy Thrush,Geokichla cinerea,TC009371
Buru Thrush,Geokichla dumasi,TC009363
Seram Thrush,Geokichla joiceyi,TC009364
Chestnut-capped Thrush,Geokichla interpres,TC009365
Enggano Thrush,Geokichla leucolaema,TC009366
Chestnut-backed Thrush,Geokichla dohertyi,TC009367
Orange-banded Thrush,Geokichla peronii,TC009372
Slaty-backed Thrush,Geokichla schistacea,TC009362
Rusty-backed Thrush,Geokichla erythronota,TC009368
Red-and-black Thrush,Geokichla mendeni,TC009369
Orange-headed Thrush,Geokichla citrina,TC009373
Long-tailed Thrush,Zoothera dixoni,TC009387
Plain-backed Thrush,Zoothera mollissima,TC009386
Dark-sided Thrush,Zoothera marginata,TC009401
Long-billed Thrush,Zoothera monticola,TC009400
Everett's Thrush,Zoothera everetti,TC009374
Sunda Thrush,Zoothera andromedae,TC009385
Scaly Thrush,Zoothera dauma,TC009388
Bonin Thrush,Zoothera terrestris,TC009402
San Cristobal Thrush,Zoothera margaretae,TC009399
Olive-tailed Thrush,Zoothera lunulata,TC009396
New Britain Thrush,Zoothera talaseae,TC009398
Russet-tailed Thrush,Zoothera heinei,TC009397
Fawn-breasted Thrush,Zoothera machiki,TC009395
Sulawesi Thrush,Cataponera turdoides,TC009404
Tristan Thrush,Nesocichla eremita,TC009405
Eastern Bluebird,Sialia sialis,TC009406
Western Bluebird,Sialia mexicana,TC009409
Mountain Bluebird,Sialia currucoides,TC009411
Townsend's Solitaire,Myadestes townsendi,TC009413
Brown-backed Solitaire,Myadestes occidentalis,TC009414
Cuban Solitaire,Myadestes elisabeth,TC009415
Rufous-throated Solitaire,Myadestes genibarbis,TC009416
Black-faced Solitaire,Myadestes melanops,TC009419
Varied Solitaire,Myadestes coloratus,TC009420
Slate-colored Solitaire,Myadestes unicolor,TC009421
Andean Solitaire,Myadestes ralloides,TC009422
Kamao,Myadestes myadestinus,TC009423
Amaui,Myadestes woahensis,TC009424
Olomao,Myadestes lanaiensis,TC009425
Omao,Myadestes obscurus,TC009426
Puaiohi,Myadestes palmeri,TC009427
Black-billed Nightingale-Thrush,Catharus gracilirostris,TC009428
Orange-billed Nightingale-Thrush,Catharus aurantiirostris,TC009429
Slaty-backed Nightingale-Thrush,Catharus fuscater,TC009432
Russet Nightingale-Thrush,Catharus occidentalis,TC009435
Ruddy-capped Nightingale-Thrush,Catharus frantzii,TC009436
Black-headed Nightingale-Thrush,Catharus mexicanus,TC009437
Spotted Nightingale-Thrush,Catharus dryas,TC009438
Veery,Catharus fuscescens,TC009439
Gray-cheeked Thrush,Catharus minimus,TC009440
Bicknell's Thrush,Catharus bicknelli,TC009441
Swainson's Thrush,Catharus ustulatus,TC009443
Hermit Thrush,Catharus guttatus,TC009446
Wood Thrush,Hylocichla mustelina,TC009451
Groundscraper Thrush,Psophocichla litsitsirupa,TC009452
Black Solitaire,Entomodestes coracinus,TC009453
White-eared Solitaire,Entomodestes leucotis,TC009454
Rufous-brown Solitaire,Cichlopsis leucogenys,TC009455
Yemen Thrush,Turdus menachensis,TC009456
Somali Thrush,Turdus ludoviciae,TC012781
Taita Thrush,Turdus helleri,TC012832
Abyssinian Thrush,Turdus abyssinicus,TC012214
Usambara Thrush,Turdus roehli,TC012855
Comoro Thrush,Turdus bewsheri,TC009459
Kurrichane Thrush,Turdus libonyana,TC009460
Olive Thrush,Turdus olivaceus,TC009457
Karoo Thrush,Turdus smithi,TC012576
Sao Tome Thrush,Turdus olivaceofuscus,TC012748
Principe Thrush,Turdus xanthorhynchus,TC012699
African Thrush,Turdus pelios,TC009461
African Bare-eyed Thrush,Turdus tephronotus,TC009462
Gray-backed Thrush,Turdus hortulorum,TC009463
Tickell's Thrush,Turdus unicolor,TC009464
Black-breasted Thrush,Turdus dissimilis,TC009465
Japanese Thrush,Turdus cardis,TC009466
White-collared Blackbird,Turdus albocinctus,TC009467
Ring Ouzel,Turdus torquatus,TC009468
Gray-winged Blackbird,Turdus boulboul,TC009472
Eurasian Blackbird,Turdus merula,TC009473
Tibetan Blackbird,Turdus maximus,TC012839
Indian Blackbird,Turdus simillimus,TC009475
Island Thrush,Turdus poliocephalus,TC009476
Chestnut Thrush,Turdus rubrocanus,TC009477
White-backed Thrush,Turdus kessleri,TC009478
Gray-sided Thrush,Turdus feae,TC009479
Eyebrowed Thrush,Turdus obscurus,TC009480
Pale Thrush,Turdus pallidus,TC009481
Brown-headed Thrush,Turdus chrysolaus,TC009482
Izu Thrush,Turdus celaenops,TC009483
Black-throated Thrush,Turdus atrogularis,TC009484
Red-throated Thrush,Turdus ruficollis,TC009486
Dusky Thrush,Turdus eunomus,TC009487
Naumann's Thrush,Turdus naumanni,TC009488
Fieldfare,Turdus pilaris,TC009490
Redwing,Turdus iliacus,TC009491
Song Thrush,Turdus philomelos,TC009492
Chinese Thrush,Turdus mupinensis,TC009493
Mistle Thrush,Turdus viscivorus,TC009494
Sooty Thrush,Turdus nigrescens,TC009495
Black Thrush,Turdus infuscatus,TC009496
Mountain Thrush,Turdus plebejus,TC009497
Pale-eyed Thrush,Turdus leucops,TC009498
Austral Thrush,Turdus falcklandii,TC009499
Plumbeous-backed Thrush,Turdus reevei,TC009502
Yellow-legged Thrush,Turdus flavipes,TC009503
Pale-breasted Thrush,Turdus leucomelas,TC009504
Cocoa Thrush,Turdus fumigatus,TC009505
Hauxwell's Thrush,Turdus hauxwelli,TC009508
Pale-vented Thrush,Turdus obsoletus,TC009511
Rufous-bellied Thrush,Turdus rufiventris,TC009512
Clay-colored Thrush,Turdus grayi,TC009513
Spectacled Thrush,Turdus nudigenis,TC009514
Ecuadorian Thrush,Turdus maculirostris,TC009515
Varzea Thrush,Turdus sanchezorum,TC009510
Unicolored Thrush,Turdus haplochrous,TC009517
White-eyed Thrush,Turdus jamaicensis,TC009516
Lawrence's Thrush,Turdus lawrencii,TC009518
Creamy-bellied Thrush,Turdus amaurochalinus,TC009519
Black-billed Thrush,Turdus ignobilis,TC009520
Marañon Thrush,Turdus maranonicus,TC009521
Chestnut-bellied Thrush,Turdus fulviventris,TC009522
Black-hooded Thrush,Turdus olivater,TC009523
Slaty Thrush,Turdus nigriceps,TC009524
Great Thrush,Turdus fuscater,TC009527
Chiguanco Thrush,Turdus chiguanco,TC009528
Glossy-black Thrush,Turdus serranus,TC009529
White-throated Thrush,Turdus assimilis,TC009530
White-necked Thrush,Turdus albicollis,TC009533
Rufous-backed Robin,Turdus rufopalliatus,TC009534
Rufous-collared Robin,Turdus rufitorques,TC009537
American Robin,Turdus migratorius,TC009538
La Selle Thrush,Turdus swalesi,TC009543
White-chinned Thrush,Turdus aurantius,TC009544
Grand Cayman Thrush,Turdus ravidus,TC009545
Red-legged Thrush,Turdus plumbeus,TC009546
Forest Thrush,Turdus lherminieri,TC009550
Varied Thrush,Ixoreus naevius,TC009552
Aztec Thrush,Ridgwayia pinicola,TC009553
Fruit-hunter,Chlamydochaera jefferyi,TC009554
Purple Cochoa,Cochoa purpurea,TC009270
Green Cochoa,Cochoa viridis,TC009271
Sumatran Cochoa,Cochoa beccarii,TC009272
Javan Cochoa,Cochoa azurea,TC009273
Blue Mockingbird,Melanotis caerulescens,TC010017
Blue-and-white Mockingbird,Melanotis hypoleucus,TC010018
Black Catbird,Melanoptila glabrirostris,TC009981
Gray Catbird,Dumetella carolinensis,TC009980
White-breasted Thrasher,Ramphocinclus brachyurus,TC010016
Scaly-breasted Thrasher,Allenia fusca,TC010019
Pearly-eyed Thrasher,Margarops fuscatus,TC010020
Brown Trembler,Cinclocerthia ruficauda,TC010021
Gray Trembler,Cinclocerthia gutturalis,TC010022
Curve-billed Thrasher,Toxostoma curvirostre,TC010006
Ocellated Thrasher,Toxostoma ocellatum,TC010005
Brown Thrasher,Toxostoma rufum,TC009999
Long-billed Thrasher,Toxostoma longirostre,TC010000
Cozumel Thrasher,Toxostoma guttatum,TC010002
Bendire's Thrasher,Toxostoma bendirei,TC010004
Gray Thrasher,Toxostoma cinereum,TC010003
California Thrasher,Toxostoma redivivum,TC010010
Le Conte's Thrasher,Toxostoma lecontei,TC010012
Crissal Thrasher,Toxostoma crissale,TC010011
Sage Thrasher,Oreoscoptes montanus,TC009998
Chilean Mockingbird,Mimus thenca,TC009989
Patagonian Mockingbird,Mimus patagonicus,TC009990
Chalk-browed Mockingbird,Mimus saturninus,TC009991
White-banded Mockingbird,Mimus triurus,TC009992
Brown-backed Mockingbird,Mimus dorsalis,TC009993
Bahama Mockingbird,Mimus gundlachii,TC009987
Galapagos Mockingbird,Mimus parvulus,TC009994
Floreana Mockingbird,Mimus trifasciatus,TC009995
Española Mockingbird,Mimus macdonaldi,TC009996
San Cristobal Mockingbird,Mimus melanotis,TC009997
Long-tailed Mockingbird,Mimus longicaudatus,TC009988
Socorro Mockingbird,Mimus graysoni,TC009986
Tropical Mockingbird,Mimus gilvus,TC009983
Northern Mockingbird,Mimus polyglottos,TC009982
Metallic Starling,Aplonis metallica,TC010023
Yellow-eyed Starling,Aplonis mystacea,TC010024
Singing Starling,Aplonis cantoroides,TC010025
Tanimbar Starling,Aplonis crassa,TC010026
Atoll Starling,Aplonis feadensis,TC010027
Rennell Starling,Aplonis insularis,TC010028
Long-tailed Starling,Aplonis magna,TC010029
White-eyed Starling,Aplonis brunneicapillus,TC010030
Brown-winged Starling,Aplonis grandis,TC010031
San Cristobal Starling,Aplonis dichroa,TC010032
Rusty-winged Starling,Aplonis zelandica,TC010033
Striated Starling,Aplonis striata,TC010034
Mountain Starling,Aplonis santovestris,TC010035
Asian Glossy Starling,Aplonis panayensis,TC010036
Moluccan Starling,Aplonis mysolensis,TC010037
Short-tailed Starling,Aplonis minor,TC010038
Micronesian Starling,Aplonis opaca,TC010039
Pohnpei Starling,Aplonis pelzelni,TC010040
Polynesian Starling,Aplonis tabuensis,TC010041
Samoan Starling,Aplonis atrifusca,TC010042
Kosrae Starling,Aplonis corvina,TC010043
Rarotonga Starling,Aplonis cinerascens,TC010044
Mysterious Starling,Aplonis mavornata,TC010045
Norfolk Starling,Aplonis fusca,TC010046
